Name,Distance,Latitude_x,Longitude_x,Latitude_y,Longitude_y,Rating,Review Count
Na Venda - Chocolates e Cafés,,,,-8.0451899,-34.8985901,5.0,3.0
Nikko Japanese Fusion,,,,-8.105029,-34.888829,4.5,7.0
Nova Torre,,,,-8.0422916,-34.9098015,5.0,2.0
O Rei da Picanha,,,,-8.0244981,-34.9104218,3.5,5.0
O Rei das Coxinhas,,,,-8.0443096,-34.894249,4.5,11.0
O Vegetariano,,,,-8.05235,-34.8889198,4.5,3.0
Oma Pâtisserie e Bistrô,,,,-8.0279455,-34.8995438,4.5,3.0
Pan Jovem Jaqueira,,,,-8.0355101,-34.9022598,4.5,3.0
Panificadora Nova Armada,,,,-8.04610186521047,-34.9070861935616,4.0,6.0
Panificadora e Confeitaria Espinheiro,,,,-8.0422497,-34.8923988,4.5,3.0
Parque 13 de Maio,,,,-8.0569096,-34.8833885,4.5,8.0
Parque da Jaqueira,,,,-8.0373402,-34.9030304,5.0,4.0
Parque de Esculturas Francisco Brennand,,,,-8.06360159193182,-34.868788326062,4.5,4.0
Parraxaxá,,,,-8.038119,-34.911863,4.5,14.0
Pizzaria Candelabro,,,,-8.0279684,-34.9118652,4.5,4.0
Pizzaria La Cuca,,,,-8.0436697,-34.9093018,4.5,3.0
Ponte Nova,,,,-8.0465311,-34.8981218,5.0,4.0
Ponto do Açaí,,,,-8.0370197,-34.9015884,4.5,7.0
Portal da Picanha,,,,-8.03527,-34.899235,4.0,9.0
Praça da República,,,,-8.0613403,-34.8777199,5.0,5.0
Praça do Marco Zero,,,,-8.06301333046358,-34.8712680653359,4.5,4.0
Pão de Açúcar,,,,-8.0460616,-34.8972255,4.5,6.0
Recife Cocos,,,,-8.0084925,-34.9365158,5.0,3.0
Restaurante Acafrao,,,,-8.05443,-34.8880692,4.5,3.0
Restaurante Amarelo Manga,,,,-8.0437498,-34.8926811,4.5,3.0
Restaurante Capitão Lima,,,,-8.0541897,-34.8778,4.0,4.0
Restaurante Puxinanã,,,,-8.0576601,-34.8803291,4.5,5.0
Rock & Ribs,,,,-8.0586004,-34.8696785,4.5,4.0
Rua do lazer,,,,-8.05469513775016,-34.8873583421417,4.5,4.0
Sabor do Doce,,,,-8.0267601,-34.9048615,4.0,3.0
Sansa,,,,-8.062973,-34.87236,4.5,8.0
Santa Pizza,,,,-8.0421658,-34.9084854,4.0,4.0
Seu Boteco,,,,-8.063757,-34.871309,4.5,7.0
Sinagoga Kahal Zur Israel,,,,-8.0619001,-34.8713608,4.5,7.0
Sob Medida,,,,-7.99626491926441,-34.8418368672758,1.0,1.0
Speciale Pizzas Artesanais,,,,-8.04589,-34.90691,3.5,6.0
Sugoi,,,,-7.9998088,-34.8392563,4.0,1.0
São Braz,,,,-8.0543404,-34.8833504,4.5,3.0
São Braz Café,,,,-8.0643997,-34.8738785,4.5,3.0
Sítio Trindade,,,,-8.02981610254743,-34.9123603915405,4.5,3.0
Tapioca da Maria,,,,-8.0531301,-34.8873787,4.5,3.0
Tay San Yuen,,,,-8.04145816406097,-34.8938260227442,4.5,3.0
Terracio Restaurante,,,,-8.0439501,-34.8928909,5.0,2.0
Texanno's,,,,-8.035727,-34.908796,4.0,6.0
Tomaselli,,,,-8.1029196,-34.8864594,4.5,3.0
Torre Malakoff,,,,-8.06015249140342,-34.8711306772461,5.0,6.0
Torre Massas,,,,-8.0437202,-34.9105186,5.0,3.0
Underground,,,,-8.0970402,-34.8834915,4.0,6.0
Vaporetto Container Bar,,,,-8.04002102272508,-34.9127634242177,4.5,9.0
Vasconcelos Bistrô e Café,,,,-8.0478401,-34.8891907,4.5,3.0
Via Paladar,,,,-8.04317,-34.893261,5.0,3.0
Vovó Nice,,,,-8.04529,-34.9072304,5.0,4.0
Wiella Bistrô,,,,-8.1007299,-34.8876114,4.5,3.0
Winner Sports Bar,,,,-8.0473804,-34.8937912,4.5,5.0
Yantai Express,,,,-8.0325499,-34.9041481,3.0,6.0
ZEN,,,,-8.04413390541109,-34.8928966601909,3.5,13.0
Ça Va Bistrô,,,,-8.0955496,-34.8840408,4.5,4.0
