,Name,Latitude,Longitude,Rating,Review Count
286,Terracio Restaurante,-8.0439501,-34.8928909,5.0,2
287,Tay San Yuen,-8.04145816406097,-34.8938260227442,4.5,3
288,Parraxaxá,-8.038119,-34.911863,4.5,14
289,Ponto do Açaí,-8.0370197,-34.9015884,4.5,7
290,Bar do Neno e Lula,-8.0328199,-34.90963,4.5,5
291,Parque da Jaqueira,-8.0373402,-34.9030304,5.0,4
292,Recanto Paraibano,-8.03479180944101,-34.9119366114309,4.0,7
293,Canela Gastrobar,-8.0345201,-34.8987999,4.5,5
294,Portal da Picanha,-8.03527,-34.899235,4.0,9
295,Mutti Capriccio,-8.03706,-34.91138,4.0,7
296,Famiglia Lucco Pizzas,-8.0320997,-34.913681,4.0,6
297,Texanno's,-8.035727,-34.908796,4.0,6
298,Pizzaria Candelabro,-8.0279684,-34.9118652,4.5,4
299,Pan Jovem Jaqueira,-8.0355101,-34.9022598,4.5,3
300,Le Olive Pizzeria,-8.0349102,-34.9014511,4.5,3
301,Guaiamum Gigante,-8.0362701,-34.9102783,3.5,7
302,Kwai Burger,-8.03809,-34.90225,4.5,4
303,Sítio Trindade,-8.02981610254743,-34.9123603915405,4.5,3
304,O Rei da Picanha,-8.0244981,-34.9104218,3.5,5
305,Sabor do Doce,-8.0267601,-34.9048615,4.0,3
306,Yantai Express,-8.0325499,-34.9041481,3.0,6
307,Oma Pâtisserie e Bistrô,-8.0279455,-34.8995438,4.5,3
308,La Pecora Nera,-8.0493145,-34.9118423,5.0,5
309,Vaporetto Container Bar,-8.04002102272508,-34.9127634242177,4.5,9
310,Itiban,-8.05032177998383,-34.9074477873834,4.0,11
311,Vovó Nice,-8.04529,-34.9072304,5.0,4
312,Parque Santana,-8.0061598,-34.9272308,5.0,4
313,Dobradinha do Gordo,-8.045796,-34.907201,4.5,5
314,Torre Massas,-8.0437202,-34.9105186,5.0,3
315,Panificadora Nova Armada,-8.04610186521047,-34.9070861935616,4.0,6
316,Delicia da Prazeres,-8.05186,-34.91823,4.5,3
317,Bar do Ao Seu Dispor,-8.04184,-34.90811,3.5,7
318,Recife Cocos,-8.0084925,-34.9365158,5.0,3
319,Di Branco Recepções,-8.0474701,-34.9085503,4.5,3
320,Speciale Pizzas Artesanais,-8.04589,-34.90691,3.5,6
321,Carlitos Burguer,-8.04387,-34.9092,3.5,7
322,Bar do Agenor,-8.0482397,-34.9145012,3.5,3
323,Irajá,-8.04653,-34.91092,4.0,3
324,Pizzaria La Cuca,-8.0436697,-34.9093018,4.5,3
325,Santa Pizza,-8.0421658,-34.9084854,4.0,4
326,Nova Torre,-8.0422916,-34.9098015,5.0,2
