Uid,Name,Empty Slots,Free Bikes,Renting Bikes,Returning Bikes,Latitude,Longitude,Rating,Review Count
0,Torre Massas,0.0,0,0,0,-8.0437202,-34.9105186,5.0,3
0,Underground,0.0,0,0,0,-8.0970402,-34.8834915,4.0,6
0,Vaporetto Container Bar,0.0,0,0,0,-8.04002102272508,-34.9127634242177,4.5,9
0,Vasconcelos Bistrô e Café,0.0,0,0,0,-8.0478401,-34.8891907,4.5,3
0,Via Paladar,0.0,0,0,0,-8.04317,-34.893261,5.0,3
0,Vovó Nice,0.0,0,0,0,-8.04529,-34.9072304,5.0,4
0,Wiella Bistrô,0.0,0,0,0,-8.1007299,-34.8876114,4.5,3
0,Winner Sports Bar,0.0,0,0,0,-8.0473804,-34.8937912,4.5,5
0,Yantai Express,0.0,0,0,0,-8.0325499,-34.9041481,3.0,6
0,ZEN,0.0,0,0,0,-8.04413390541109,-34.8928966601909,3.5,13
0,Ça Va Bistrô,0.0,0,0,0,-8.0955496,-34.8840408,4.5,4
